Country,0
Algeria,1
Andorra,1
Anguilla,3
Antigua and Barbuda,7284
Argentina,4494
Armenia,3
Aruba,4
Austria,3
Bahamas,3
Bangladesh,1
Barbados,1
Belarus,2
Belgium,1
Bhutan,1
Bosnia and Herzegovina,6
Botswana,1
British Indian Ocean Territory,5
Bronze,1
Bulgaria,2
Burundi,4
Cabo Verde,6
Cambodia,1
Cameroon,2
Christmas Island,9
Cocos (Keeling) Islands,1
Colombia,1
Comoros,7
Congo,4489
Croatia,1
Czechia,1
Côte d'Ivoire,4
Denmark,3
Djibouti,3
Dominica,2
Ecuador,1
El Salvador,3
Equatorial Guinea,3
Eritrea,1
Estonia,1
Eswatini,2795
Falkland Islands (Malvinas),3
France,6
French Guiana,3
French Southern Territories,3
Gabon,3
Georgia,4490
Germany,7
Gibraltar,3
Greece,4
Greenland,7
Grenada,2799
Guadeloupe,4
Guam,8
Guatemala,3
Guinea,3
Guinea-Bissau,2
Haiti,3
Honduras,8
Hong Kong,3
Hungary,2
Indonesia,9
"Iran, Islamic Republic of",3
Iraq,1
Ireland,6
Israel,1
Jamaica,6
Japan,1
Jersey,1
Jordan,3
Kazakhstan,3
Kenya,3
Kiribati,3
"Korea, Democratic People's Republic of",3
"Korea, Republic of",4488
Lao People's Democratic Republic,6
Latvia,3
Liberia,3
Libya,2
Lithuania,3
Macao,1
Madagascar,3
Malawi,4488
Maldives,1
Malta,1
Mauritania,4488
Mexico,2
Monaco,1
Mongolia,2
Morocco,2
Mozambique,1
Myanmar,1
Nauru,1
Nepal,4
New Caledonia,1
Nicaragua,12
Niger,1
Niue,4
Norfolk Island,1
North Macedonia,1
Norway,3
Oman,1
Palau,3
"Palestine, State of",2
Panama,1
Papua New Guinea,3
Peru,9
Philippines,1
Poland,2798
Portugal,1
Puerto Rico,2
Qatar,1
Romania,1
Russian Federation,4489
Rwanda,3
Saint Barthélemy,1
"Saint Helena, Ascension and Tristan da Cunha",1
Saint Kitts and Nevis,4
Saint Lucia,3
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,1
San Marino,3
Sao Tome and Principe,4488
Saudi Arabia,3
Senegal,2
Serbia,2
Seychelles,2799
Singapore,3
Slovenia,3
Somalia,3
South Africa,4
South Sudan,1
Spain,3
Sri Lanka,7
Sudan,1
Suriname,4491
Svalbard and Jan Mayen,7
Sweden,3
Switzerland,4
Syrian Arab Republic,12
"Taiwan, Province of China",1
Tajikistan,3
Timor-Leste,1
Tokelau,4489
Tonga,4489
Trinidad and Tobago,1
Tunisia,12
Turkmenistan,7
Tuvalu,3
Türkiye,3
Uganda,4
United Arab Emirates,6
United States,4
Uruguay,9
Vanuatu,1
"Venezuela, Bolivarian Republic of",6
Viet Nam,1
"Virgin Islands, British",1
"Virgin Islands, U.S.",1
Yemen,4488
Zambia,1
Zimbabwe,3
Åland Islands,5
